Title,Company,City,Salary,Summary,AverageSalary,Higher_Salary,Category,City_RichmondVA,City_LincolnNE,City_TampaFL,City_AnnArborMI,City_NewYorkNY,City_SaltLakeCityUT,City_SanFranciscoCA,City_PhoenixAZ,City_SeattleWA,City_WashingtonDC,Summary_analyst,Summary_architect,Summary_data,Summary_intelligence,Summary_business,Summary_engineer,Summary_analysis,Summary_big,Summary_research,Summary_architecture,Company_WiproLTD,Company_CreditAcceptance,Company_UniversityofUtah,Company_RallyHealth,Company_LosAngelesHomelessServicesAuthority,Company_KingCounty,Company_LogicRule,Company_USDepartmentofJustice,Company_AbbottLaboratories,Company_CapitalOne
"Data Analytics Engineer (Digital) - Houston, TX",General Electric,"Houston, TX 77002",None,"Baker Hughes, a GE company is currently hiring a Data Analytics Engineer based in Houston, Texas....",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Roche,"San Francisco, CA",None,"With data at the centre of this role, you will design and implement complex data flows under the guidance of the Senior...",70354.1767830483,0,I,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Visualization Engineer,Epsilon,"Chicago, IL",None,"As a Data Visualization Engineer in our Decision Sciences Visualization team, you will create innovative visualization...",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"Amazon.com Services, Inc.","Seattle, WA",None,"Professional experience as a Data  Engineer or related specialty (e.g., Software Engineer , Business Intelligence Engineer ...",72997.79025635979,0,I,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Ubisoft,"San Francisco, CA 94107",None,We are currently searching for a Data  Engineer to join the Enterprise Data team....,72045.3957555764,0,I,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer I,Conde Nast,"New York, NY 10048",None,The Data Services team is seeking a Data  Engineer with a passion for creating data products to help create more engaging...,72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Apple,"Santa Clara Valley, CA",None,"This Data  Engineer will work closely with other members of the Video Engineering group to mine data , implement model...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Red Bull,"Santa Monica, CA 90404",None,We are looking for data  engineers that can independently develop and deploy end-to-end data transformation projects....,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Amazon US Services LLC,"Seattle, WA",None,The complexity of research and skills for a Data  Engineer is well beyond basic data entry and extraction....,71370.86912647625,0,I,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Database Engineer,MasterCard,"New York, NY 10011",None,Understanding of logical and physical data models on structured and unstructured data patterns....,72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,NewWave Telecom &amp; Technologies,"Baltimore, MD",None,"The Data  Engineer will support our software developers, database architects, data analysts and data scientists on data ...",77659.57379018195,1,I,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer – Personalization,Spotify,"Boston, MA",None,"You are knowledgeable about data modeling, data access, and data storage techniques....",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Murex S.A.S.,"New York, NY",None,"In particular, you will become an expert in the Murex tools and APIs that our clients use to build system interfaces,...",73819.63637721233,0,I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Engineer (Python, SQL) - 2019 Summer Internship",Glidewell Dental,"Irvine, CA",None,Our perfect candidate will have the fundamental knowledge on creating ETL tools to extract data from databases....,70866.58877239976,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSBI Developer,ITL USA,"Seattle, WA",None,Infosys – Data &amp; Analytics - Systems Engineer – ADL/ADFInfosys is a global leader in technology services and consulting....,72997.79025635979,0,F,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Data Engineer,Emailage,"Chandler, AZ",None,"We are seeking a Big Data  Engineer located in Chandler, Arizona. Provide big data thought leadership to efficiently...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mapping and Localisation Engineer – Autonomous Vehicles,USA Recruitment,"Palo Alto, CA",None,Mapping and Localisation Engineer – Autonomous Vehicles. Required skills for this Mapping and Localisation Engineer role...,72549.68562648966,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer 2019 Internship – Data Engineer,Zeta Global,"San Francisco, CA",None,Maintaining data quality and accuracy across production data systems. Demonstrate the workflow by analyzing a Data Cloud...,70354.1767830483,0,N,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer – Markets,Spotify,"New York, NY 10011",None,"You are knowledgeable about data modeling, data access, and data storage techniques....",72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Intern,Integral Ad Science,"New York, NY 10003",None,As a Data Engineering Intern you will help us re- engineer and migrate data pipelines to AWS....,69042.6357028466,0,N,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analytics Engineer,Spectrum Health,"Grand Rapids, MI",None,"Coding languages; SQL &amp; PL/SQL and testing to design, code, test, implement, maintain and enhance business applications...",69923.12253253056,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Engineer - Search and Explore,Pluralsight,"Boston, MA",None,"As a data scientist on our Search &amp; Explore team, you will help us you will help us solve novel data science, machine...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Cisco Careers,"San Jose, CA",None,"In the role of a Data Analyst, you will be focusing on maintaining production data quality in Enterprise Data Warehouse...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Internship - Data Engineer,Intalere Inc,"Warrendale, PA 15086",None,Drive the cataloging of new data assets to promote higher data quality....,70866.58877239976,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,UnitedHealth Group,"Phoenix, AZ 85003",None,Experience with healthcare data . No industry is moving faster than health care....,70866.58877239976,0,I,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Intern,Align Technology,"San Jose, CA 95131",None," Data  Engineer Position. The Data  Engineer intern will draw upon the practice of data analysis, data management...",74848.76062134402,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer - Summer Intern - University Students,McKinsey &amp; Company,"New York, NY 10022",None,"You will provide analysis, analytical modeling, and/or visualization of data sets using relevant data tools....",75552.41047290737,0,N,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Summer 2019 Internship,Penguin Random House LLC,"New York, NY 10019",None,"At Penguin Random House, the Data Science &amp; Analytics group is an agile team comprised of data scientists, data ...",72360.92299730718,0,N,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,American Express,"Phoenix, AZ",None,"Document data requirements/ data stories and maintain data models. So if you’re not intimidated by the data explosion,...",70866.58877239976,0,I,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Adobe,"San Jose, CA",None,The Adobe Information &amp; Data Services (IDS) Data Engineering team is looking for innovative data and software engineers ...,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Verizon,"Irving, TX 75038",None,"You will work closely with a team of talented Data Scientists, Big Data  Engineers , and Software Developers....",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Netflix,"Los Gatos, CA 95032",None,You’ll build robust data pipelines of high data quality in a scalable fashion (both data and maintainability)....,70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Visualization Engineer,AllianceData,"Chicago, IL",None,"As a Data Visualization Engineer in our Decision Sciences Visualization team, you will create innovative visualization...",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer -Operations,Garmin,"Olathe, KS 66061",None,We are looking for a full-time Data  Engineer for our headquarters in the greater Kansas City area....,72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Project Engineer,"Vadata, Inc.","New York, NY",None,The Data Center Project Engineer will be responsible for the following:....,73819.63637721233,0,I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"data scientist, Insights & Analytics - Seattle, WA",Starbucks,"Seattle, WA",None," Data Science Evangelism:. With support from more senior data scientists, establish and foster close collaboration...",71314.6934022699,0,I,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Catasys,Home Based,None,"You will maintain and create scripts for extracting, transforming, synchronizing and loading data throughout our...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,ZocDoc,"New York, NY 10012",None,"As a Senior Data  Engineer , you’ll help us build infrastructure for collecting, storing, processing, and analyzing huge...",73819.63637721233,0,I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Sony Music Entertainment,"New York, NY 10010",None,"The Data  Engineer will join the newly created Data Strategy team and will report to the EVP of Data Strategy, Chief Data ...",73819.63637721233,0,I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Director, Data Science","Alteryx, Inc.",Michigan,None,Provide coaching and guidance on data science best practices. You will help software engineers know how to improve the...,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,PACCAR,"Chillicothe, OH",None,"Models physical/application data requirements in a data model tool, such as ERWin data modeler • Teaches data modeling...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Perspecta,"San Diego, CA 92140",None,Position Title: Senior Microsoft SQL Server Database Administrator - No Clearance Needed Job Description: This SQL...,72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data/Business Intelligence Engineer,Comcast,"Chicago, IL 60603",None,"Experienced in Multi-Dimensional Data Warehouse design and development, creating tables, procedures, and views to...",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Analytics Engineer, Experimentation",Spotify,"New York, NY 10011",None,"Knowledgeable in data modeling, data access and data storage techniques....",72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,L&amp;T Technology Services Ltd.,"Milpitas, CA",None,"Big Data (Mongo, Cassandra, Hadoop, etc.), Redis, SQL, SQL Server. JD - Database Architect/Senior engineer who has very...",71025.13869374091,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Engineer,Apple,"Austin, TX 78758",None,"As a Data Science Engineer on the SDS team, you will work closely with Data Scientists and other Data Science Engineers ...",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,PwC,"Atlanta, GA 30309",None,"As part of our team, you’ll help our clients implement enterprise content and data management applications that improve...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONTRACT - Data Engineer,Nintendo of America Inc.,"Redmond, WA 98052",None,"2+ years supporting data warehousing and analytics projects, including using AWS technologies— Redshift, S3, EC2, etc....",70866.58877239976,0,M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intern, Data Engineer",Autodesk,"San Francisco, CA 94105",None,Exploring and generating insight from large-scale datasets to address various business problems through leveraging...,70559.53074126955,0,N,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,C.H. Robinson,"Eden Prairie, MN 55347",None,Experience with data catalogs. 2+ years of experience leveraging ETL tools to load a data warehouse or create a data ...,70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Warehouse Engineer,Piper Companies,"King of Prussia, PA 19406","$115,000 - $125,000 a year",Responsibilities for the Data Warehouse Engineer :. Experience building data warehouse platforms....,129224.00971730665,1,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst - Data Science,Gordian,"Greenville, SC","$115,000 - $125,000 a year", Data Analyst – Data Science Apprentice. Assisting and Supporting Data Scientist and Data  Engineers in industry leading...,134736.70208553912,1,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Oak Ridge National Laboratory,"Oak Ridge, TN 37831","$115,000 - $125,000 a year",As a Data  Engineer you will:. The Data Driven Modeling and Analysis Team within the Computational Sciences and...,134736.70208553912,1,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,SoftVision - North America &amp; UK,"New York, NY 10018","$115,000 - $125,000 a year",Understand data principle. Experience with data integration. We are looking for an exceptional Data  Engineer to work...,135712.07302443814,1,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science Intern (Summer 2019),Stratus Solutions,"College Park, MD 20740","$115,000 - $125,000 a year","Experience designing and implementing machine learning, data mining, statistics and/ or graph algorithms for large data ...",129224.00971730665,1,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Intern - DMX Data Exploration,Microsoft,"Redmond, WA","$115,000 - $125,000 a year","Some Familiarity with data cleaning, data transformation, applications of machine learning, data structure and...",129224.00971730665,1,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. QA Engineer,Vivint Smart Home,"Lehi, UT 84043","$115,000 - $125,000 a year",Vivint is currently looking for a Senior QA Engineer to join our Corporate Systems team....,134736.70208553912,1,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Operation Engineer,Huawei,"Santa Clara, CA","$115,000 - $125,000 a year","Manages the data center security, including data security, physical access security of the data center equipment, and...",129224.00971730665,1,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intern-Data Service Systems,Huawei,"Plano, TX","$115,000 - $125,000 a year",(Huawei R&amp;D U.S.A) is looking to hire R&amp;D Software Engineer to join our US-based R&amp;D Data Architecture team to help...,134736.70208553912,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist - Matching,Uber,"San Francisco, CA 94103",None,"Machine learning/statistical modeling, data analytics and experimentation skills....",70354.1767830483,0,I,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Battelle,"Seattle, WA 98109",None,"We are currently seeking a Data  Engineer . Domain experience in healthcare, particular with claims and EHR data ....",71314.6934022699,0,I,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,IBM,"New York, NY 10002",None,"Develop API data collection jobs, cleanse, transform, join, and adjust data sources, and eventually store organized and...",72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Getty Images,"New York, NY",None,Getty Images is looking for a Data  Engineer who enjoys working across the entire lifecycle of Machine Learning projects...,73819.63637721233,0,I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,IDEXX,"Westbrook, ME 04092",None,"Extracting data from outside sources, transforming data to fit operational needs and loading data to end target,...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Akraya Inc.,"Las Vegas, NV 89103",None,Akraya is looking for a Data  Engineer for one of our award-winning clients....,72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business Intelligence Engineer - Summer Internship,"Amazon.com Services, Inc.","Seattle, WA",None,"Skilled at data visualization and presentation. Experience extracting, transforming, and cleaning multi-TB data sets in...",71314.6934022699,0,N,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineering Intern,Shutterfly,"Santa Clara, CA 95054",None,"EMR, AWS Data Pipeline). The data infrastructure consists of creating data pipelines using map reduce systems, as well...",70866.58877239976,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,"8x8, Inc.","San Jose, CA",None,"8x8 is seeking Data  Engineers to join our new data platform team. Working with large data volumes, including processing,...",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Dropbox,"San Francisco, CA 94102",None,"You will help define/design data integrations, data quality frameworks and design/evaluate open source/vendor tools for...",70354.1767830483,0,I,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Associate,Hartford Steam Boiler,"Hartford, CT 06103",None,1+ Years of experience as a data  engineer within a modeling environment....,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Escalation Engineer,Cisco Careers,"San Jose, CA",None,"We are looking for high-energy, passionate, and eager-to-learn people to participate as engineers supporting the network...",71025.13869374091,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Intern - Information and Data Sciences,Microsoft,"Redmond, WA",None,The Information and Data Sciences (IDEAS) group in Microsoft Research AI seeks exceptional interns in the broad fields...,72549.68562648966,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,"Amazon.com Services, Inc.","Detroit, MI",None,"5+ years of experience as a Data  Engineer , BI Engineer , Business/Financial Analyst or Systems Analyst in a company with...",72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate Data Engineer,The Hartford,"Hartford, CT",None,Desire candidates with prior Data Analysis and/or Data  Engineer competencies....,72549.68562648966,0,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer – Royalties,Spotify,"New York, NY 10011",None,"You are knowledgeable about data modeling, data access, and data storage techniques....",72360.92299730718,0,I,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineering Intern,Castlight Health,"San Francisco, CA 94105",None,"Interest in data and data engineering. As an intern, you will have the unique opportunity to work with a team of...",67718.81035722072,0,N,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Intern-Software Engineer,E4D Technologies,"Richardson, TX 75081",None,Work with other senior level engineers . Software Engineer Intern- E4D technologies is hiring an upperclassman or intern...,71025.13869374091,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Schoolzilla,United States,None,Partner with fellow web and data  engineers to bring new features and products to market....,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Return to Work, Infrastructure Data Engineer",Facebook,"Menlo Park, CA",None,"Design, build and launch efficient and reliable data pipelines to move data to our Data Warehouse....",70866.58877239976,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Data Engineer, Analytics - Seattle",Facebook,"Seattle, WA 98101",None,"Interface with engineers , product managers and product analysts to understand data needs....",68311.19314155646,0,I,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer Intern,Experian,"San Diego, CA",None,"Passion for data and data management. The Data  Engineer is expected to learn existing processes, learn and apply Big...",70866.58877239976,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Science and Engineering Intern,Aruba Networks,"Santa Clara, CA 95054",None,Monitor and optimize data flow pipelines and prepare the data on big data framework....,70866.58877239976,0,N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Waymo,"Mountain View, CA",None,Collaborate with engineers and other data scientists to evaluate and improve core....,67863.08851168634,0,I,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
